Company,Market,Region,Sector,Credit rating impact,COUNTRY_RISK_MARKET_RETURN,COUNTRY_RISK_PREMIUM,COUNTRY_RISK_RFR,EPS_GROWTH,GROSS_MARGIN,IS_INT_EXPENSE,OPER_MARGIN,RISK_PREMIUM,UNLEVERED_BETA,WACC,WACC_COST_DEBT,WACC_COST_EQUITY,Total E,Total S,Total G,EAQ,EFM,EWT,EHZ,EIM,SCR,SCW,SLB,SEW,SIM,GEX,GGV,GST,GTR,IS_INT_EXPENSE_log,GROSS_MARGIN_log
Brown-Haynes,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9979,0.0,9.4322,1.7667,13.7189,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
"Peters, Grimes and Howard",Emerging Markets,EM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9979,0.0,6.8094,1.7632,13.7189,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
"Perez, Martin and Brown",Emerging Markets,EM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.423,0.0,9.9354,2.2739,14.144,12,11,12,2,2,2,3,3,2,3,3,2,1,3,3,3,3,0.0,0.0
Daniels and Sons,Emerging Markets,EM - Asia,Industrials & Transportation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2082,0.0,4.95,1.4081,14.9292,12,10,12,3,2,2,3,2,1,3,3,1,2,3,3,3,3,0.0,0.0
Moreno PLC,Developed Markets,DM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0718,0.0,0.0,0.0,0.0,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
"Williams, Wright and White",Developed Markets,DM - Europe,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3694,0.0,0.0,0.0,0.0,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
"Martinez, Harding and Kelley",Emerging Markets,EM - CEEMEA,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1949,0.0,11.9612,0.8472,12.9909,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
Soto-Rodriguez,Developed Markets,DM - Europe,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0285,0.0,5.5632,1.6044,10.7935,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
"Alvarado, Joseph and Johnson",Emerging Markets,EM - Asia,Natural Resources,1,14.111,6.4843,0.0,0.0,22.741,810.6102,14.6542,11.3928,0.0,6.1773,2.4396,14.111,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,6.699020175640059,3.167203511293531
"Moody, Frazier and Oconnor",Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,4.8467,1.2111,10.018,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Blevins-Knight,Developed Markets,DM - Europe,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9279,0.0,12.9154,7.5024,14.4935,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Horton LLC,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,0.0,0.0,0.0,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Nicholson-Castillo,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0552,0.0,7.6931,2.7084,11.7762,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Gallegos-Rhodes,Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Kirk-Roberts,Developed Markets,DM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Torres-Gomez,Developed Markets,DM - Americas,"Retail, Consumer & Healthcare",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,9,12,1,2,1,3,3,1,2,2,1,3,3,3,3,3,0.0,0.0
"Harrington, Perez and Duncan",Developed Markets,DM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7323,0.0,5.34,1.4919,9.3414,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
"Miller, Rodriguez and Mueller",Developed Markets,DM - Americas,Industrials & Transportation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,0.0,0.0,0.0,12,10,12,3,2,2,3,2,1,3,3,1,2,3,3,3,3,0.0,0.0
Ryan Inc,Emerging Markets,EM - Asia,"Retail, Consumer & Healthcare",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1434,0.0,9.3136,2.4769,14.8644,12,11,12,2,3,1,3,3,1,3,3,1,3,3,3,3,3,0.0,0.0
Garcia-Watson,Emerging Markets,EM - CEEMEA,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8775,0.0,8.2651,1.4271,10.018,12,11,12,2,3,3,3,1,1,3,3,1,3,3,3,3,3,0.0,0.0
"Ochoa, Barnes and Adams",Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3274,0.0,11.0155,7.965,13.6674,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Hanson and Sons,Developed Markets,DM - Americas,Utilities,0,8.3929,6.5177,1.8752,0.0,0.0,0.0,0.0,9.103,0.0,9.3034,1.132,10.2402,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Nguyen-Fleming,Emerging Markets,EM - Asia,Natural Resources,1,10.5264,2.501,8.0254,-18.3886,15.9139,611.308,10.7826,2.501,0.0,8.5357,5.2104,10.5264,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,6.417235423889329,2.8281357690805216
Patton-Knox,Developed Markets,DM - Americas,Utilities,0,8.3929,6.5177,1.8752,0.0,0.0,0.0,0.0,10.9391,0.0,9.7306,1.1662,12.0796,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Cordova Ltd,Developed Markets,DM - Europe,Utilities,1,13.3747,12.0966,1.278,0.0,0.0,14.2776,48.5968,13.3747,0.0,3.8899,0.0035,13.3747,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,2.7263877033390673,1.524660858987853
"Boyle, Walters and Bell",Emerging Markets,EM - Americas,Natural Resources,1,11.2511,7.0413,4.2098,0.0,19.7928,37.884,0.1151,9.7748,2.6437,8.8294,5.338,13.9846,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,3.6605828549588226,3.0346067729360464
"Evans, Graham and Gordon",Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5176,0.0,12.3594,2.5677,14.2386,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Pierce Ltd,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0658,0.0,8.4477,2.7817,15.7868,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Larson-Andrews,Emerging Markets,EM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6449,0.0,5.2783,1.6758,16.3659,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
"Choi, Wong and King",Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
"Simmons, Baker and Vasquez",Emerging Markets,EM - CEEMEA,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,8.5269,1.5234,10.018,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
"Hopkins, Robbins and Roberts",Developed Markets,DM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7323,0.0,5.34,1.4919,9.3414,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
Holmes PLC,Emerging Markets,EM - CEEMEA,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9557,0.0,12.5131,0.0,12.5213,13,12,12,2,2,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
Shepherd-Contreras,Emerging Markets,EM - Asia,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7902,0.0,7.6595,2.9267,16.5112,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3,0.0,0.0
Moore-Thompson,Developed Markets,DM - Americas,"Retail, Consumer & Healthcare",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,0.0,0.0,0.0,12,11,12,2,3,1,3,3,1,3,3,1,3,3,3,3,3,0.0,0.0
Patterson-Brown,Developed Markets,DM - Europe,Services & Communications,1,13.193,11.9161,1.2769,0.0,8.2502,182.5322,-14.0895,8.771871254530812,0.0,7.045426157873541,1.4091,10.703224164317358,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3,5.212390128939602,2.2246451729122114
Carlson-Gonzalez,Developed Markets,DM - Asia,Natural Resources,0,8.5869,8.6679,-0.081,0.0,0.0,0.0,0.0,11.9228,0.0,5.1672,0.1228,12.0038,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3,0.0,0.0
"Stevens, Bradley and Johnson",Developed Markets,DM - Europe,Natural Resources,0,11.5387,10.2369,1.3018,0.0,0.0,0.0,0.0,13.6636,0.0,9.4553,0.8582,14.4596,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3,0.0,0.0
"Fritz, Welch and Page",Developed Markets,DM - Americas,Utilities,0,9.6435,7.2385,2.405,0.0,0.0,0.0,0.0,12.6955,0.0,7.113,1.0101,13.8327,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Griffith-Myers,Emerging Markets,EM - CEEMEA,Utilities,0,0.0,0.0,0.0,20.9302,71.2866,0.0,18.5437,4.207,0.7465,1.8641,1.3113,5.3458,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,4.280638773121512
Parks-Jacobs,Developed Markets,DM - Europe,Natural Resources,1,12.3352,10.9847,1.3505,0.0,36.6788,228.1957,4.9756,10.9847,0.0,9.3593,1.3957,12.3352,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3,5.434576223757092,3.6290976020672736
Fox-Mclaughlin,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,0.0,0.0,0.0,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0.0,0.0
Murray-Johnson,Developed Markets,DM - Asia,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7604,0.0,10.5951,1.0575,13.7254,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0.0,0.0
Thompson PLC,Emerging Markets,EM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1289,0.0,13.0817,7.1162,13.9979,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0.0,0.0
Bass and Sons,Emerging Markets,EM - CEEMEA,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,7.0239,1.3934,10.018,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Dillon Group,Emerging Markets,EM - CEEMEA,Industrials & Transportation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8775,0.0,7.8353,1.0619,10.018,11,11,12,3,3,1,1,3,1,3,3,3,1,3,3,3,3,0.0,0.0
Murphy-Wu,Emerging Markets,EM - CEEMEA,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1865,0.0,5.5927,4.3166,16.7521,12,11,12,2,3,3,3,1,1,3,3,1,3,3,3,3,3,0.0,0.0
"Roth, Hall and Nash",Emerging Markets,EM - CEEMEA,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5341,0.0,14.2288,7.9443,15.0997,12,11,12,2,3,3,3,1,1,3,3,1,3,3,3,3,3,0.0,0.0
Woodard LLC,Emerging Markets,EM - Asia,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9791,0.0,7.3299,2.0237,16.7001,5,11,12,1,1,1,1,1,1,3,3,1,3,3,3,3,3,0.0,0.0
"Garcia, Kelly and Goodwin",Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,5.4011,0.8466,10.018,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3,0.0,0.0
Hernandez-Hall,Developed Markets,DM - Americas,Industrials & Transportation,1,10.7096,8.0254,2.6842,71.9407,50.99,23.687,7.6492,3.6199,0.0,5.1758,4.7144,6.3041,12,10,12,3,2,2,3,2,1,3,3,1,2,3,3,3,3,2.7032312762841455,3.9510513923956245
Parker-Kirk,Developed Markets,DM - Americas,Services & Communications,1,10.7096,8.0254,2.6842,0.0,57.1327,673.0,-3.2194,8.0254,0.0,7.0746,3.6909,10.7096,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3,6.513230110912307,4.062728328252011
"Wolfe, Russell and Jones",Developed Markets,DM - Europe,Natural Resources,0,8.4976,8.4071,0.0904,-4.0541,47.6257,0.0,26.5297,8.5795,0.0,4.2214,0.4052,8.9885,15,13,12,3,3,3,3,3,3,1,3,3,3,3,3,3,3,0.0,3.88415219772188
Hodges Group,Emerging Markets,EM - Americas,Utilities,0,11.0541,4.1445,6.9095,0.0,21.4613,33.5286,7.4819,3.8412,0.0,12.8592,14.0804,12.0862,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3.5417879661258542,3.111793828312034
"Murphy, Brown and Ellis",Developed Markets,DM - Asia,Utilities,1,14.111,6.4843,0.0,88.8112,28.4908,48.8701,25.693,8.6291,-0.0241,5.896,2.8385,11.3472,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3.909421624769576,3.3840783502991774
Dillon and Sons,Developed Markets,DM - Americas,Natural Resources,0,8.4018,6.4843,1.9175,0.0,54.0808,29.232,36.8902,8.8808,0.0,7.16,1.6223,10.018,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,3.4089009660471876,4.008801198083227
"Kerr, Allen and Robinson",Emerging Markets,EM - Asia,Generic,1,8.8005,7.3229,1.4776,0.0,30.8663,103.9344,11.8597,9.116,0.6333,7.2966,1.645,10.5936,5,8,13,1,1,1,1,1,1,3,2,1,1,4,3,3,3,4.653335393007717,3.4615490250468977
Beard Group,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,1.3175,339.0,-2.3165,7.9171,0.0,5.8322,1.3643,9.0559,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,5.8289456176102075,0.8404890184578732
Horton-Harris,Emerging Markets,EM - Americas,Utilities,0,11.6515,4.8641,6.7874,0.0,17.2279,70.741,11.6849,6.1289,-0.4235,10.3928,6.9442,13.9979,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,4.273062411231965,2.902953387321194
"Stuart, Morgan and Ramos",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,61.635,224.2,20.2209,8.8808,0.0,5.9652,1.2609,10.018,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3,5.4169888962655355,4.137324227296155
"Lopez, Hunt and Smith",Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8672,0.0,11.5457,0.7611,29.9456,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Spencer and Sons,Emerging Markets,EM - Americas,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2538,0.0,12.4111,3.8428,13.1228,11,14,12,1,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Hudson LLC,Developed Markets,DM - Americas,Services & Communications,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8808,0.0,2.5213,1.7209,10.018,9,10,12,1,3,1,1,3,1,3,3,1,2,3,3,3,3,0.0,0.0
Chapman PLC,Developed Markets,DM - Europe,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3694,0.0,2.1026,-0.2605,12.1344,12,11,12,2,2,2,3,3,2,3,3,2,1,3,3,3,3,0.0,0.0
"Vincent, Solis and James",Emerging Markets,EM - CEEMEA,Natural Resources,0,12.7281,0.0,0.0,23.0769,0.0,0.0,0.0,5.6454,0.0,8.8025,6.2967,14.211,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
"Griffith, Lewis and Miller",Developed Markets,DM - Americas,Services & Communications,0,8.4018,6.4843,1.9175,-19.4898,52.0237,38.1,13.3143,8.8792,0.0,5.837,1.2078,10.018,12,11,12,2,3,3,3,1,1,3,3,1,3,3,3,3,3,3.66612246699132,3.970738983412818
"Rodriguez, Gallagher and Le",Emerging Markets,EM - Americas,Real Estate & Construction,1,15.3874,6.1526,9.2348,-29.6339,19.9869,574.0386,14.3187,3.1571,0.3462,11.3588,10.3104,12.3919,9,10,14,1,1,1,3,3,1,3,2,1,3,3,4,3,4,6.354437168978986,3.0438984335494985
Sullivan Ltd,Developed Markets,DM - Europe,Utilities,1,13.2177,11.6446,1.5731,0.0,20.169,127.8302,1.0121,8.8976,0.0,5.5127,2.4252,10.4707,14,14,12,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4.858495258235668,3.052537847375443
"Ayers, Stevens and Butler",Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,0.0,21.3157,340.0,4.1709,9.7819,0.0,4.3221,0.6597,10.9207,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,5.831882477283517,3.1052904666235173
Adkins Inc,Developed Markets,DM - Americas,Utilities,0,8.4018,6.4843,1.9175,13.4752,0.0,208.715,54.2582,8.8329,-0.0936,6.7454,0.7135,9.9734,10,14,12,2,2,1,2,3,3,3,3,2,3,3,3,3,3,5.345749466107898,0.0
Buckley-Lopez,Developed Markets,DM - Americas,Real Estate & Construction,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,5.9015,1.2491,10.018,9,15,12,1,1,1,3,3,3,3,3,2,4,3,3,3,3,0.0,0.0
Spencer Inc,Developed Markets,DM - Asia,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3388,0.0,8.0656,2.2885,12.0598,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Winters Ltd,Developed Markets,DM - Europe,Utilities,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4968,0.0,4.7269,1.9913,11.2818,13,14,12,3,3,1,3,3,3,3,3,2,3,3,3,3,3,0.0,0.0
Nunez Group,Developed Markets,DM - Americas,Natural Resources,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8792,0.0,8.2005,0.8879,10.018,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
Ryan-Weber,Emerging Markets,EM - Asia,Natural Resources,1,11.909,4.5102,7.3988,20.6016,0.0,573.8918,3.0211,6.479,0.0,10.6963,6.7264,13.8779,13,12,12,3,3,3,3,1,2,1,3,3,3,3,3,3,3,6.354181849177375,1.524660858987853
Oconnor-Garza,Developed Markets,DM - Europe,Utilities,1,13.3747,12.0966,1.278,0.0,0.0,14.2776,48.5968,13.3747,0.0,3.8899,0.0035,13.3747,9,14,12,1,2,1,2,3,3,3,3,2,3,3,3,3,3,2.7263877033390673,1.524660858987853
Allen-Serrano,Developed Markets,DM - Americas,Natural Resources,0,8.4905,6.7147,1.7758,0.0,0.0,0.0,0.0,9.3034,0.0,9.0361,1.0977,10.4422,13,11,12,3,3,1,3,3,3,1,2,2,3,3,3,3,3,0.0,0.0
"Mays, Sosa and Goodman",Developed Markets,DM - Europe,Natural Resources,0,11.1513,10.1508,1.0004,0.0,0.0,0.0,0.0,12.1949,0.0,6.8232,0.7372,12.9909,15,12,12,3,3,3,3,3,3,1,3,2,3,3,3,3,3,0.0,0.0
"Brown, Patel and Mcgee",Emerging Markets,EM - Asia,"Retail, Consumer & Healthcare",1,11.9167,6.4843,0.0,13.75,29.3063,132.4397,22.6698,12.7768,2.1135,5.8464,1.5452,14.6943,11,10,12,2,3,1,3,2,1,3,3,1,2,3,3,3,3,4.893649690406471,3.4113556116948707
"Henry, Murray and Thompson",Emerging Markets,EM - Asia,"Food, Beverage & Tobacco",0,11.9167,0.0,0.0,13.3987,35.9334,1340.0642,29.2645,11.1001,0.5553,8.3675,1.8603,13.8211,14,12,12,3,2,3,3,3,1,3,3,2,3,3,3,3,3,7.201218756856079,3.6091162906975964
Wiley Inc,Developed Markets,DM - Europe,Services & Communications,0,11.6833,11.5254,0.1579,44.0,24.3264,177.1095,11.0357,13.7827,0.8258,9.2902,0.1717,13.7997,12,11,12,2,3,3,3,1,1,3,3,1,3,3,3,3,3,5.182398529692809,3.231847329949337
"Walker, Duncan and Mendoza",Developed Markets,DM - Americas,"Food, Beverage & Tobacco",1,8.4018,6.4843,1.9175,185.5204,6.609,142.0,-1.7778,9.5032,0.0,5.9856,3.274,11.4207,14,12,12,3,2,3,3,3,2,3,3,1,3,3,3,3,3,4.962844630259907,2.029331757194386
"Smith, Beard and Kelly",Developed Markets,DM - Europe,"Food, Beverage & Tobacco",0,9.3834,8.5611,0.8224,-91.4637,66.0519,130.9932,-4.1411,16.0249,0.0,12.3022,1.2197,16.8209,13,11,12,2,2,3,3,3,1,3,3,1,3,3,3,3,3,4.882750406107904,4.2054669463880945
Nicholson-Potter,Developed Markets,DM - Americas,Real Estate & Construction,1,8.4018,6.4843,1.9175,40.8557,44.8924,349.3,12.9709,6.6477,0.5025,7.5139,2.093,8.5652,9,9,12,1,1,1,3,3,1,2,2,1,3,3,3,3,3,5.858789930203441,3.8262995260150103
